CName,CLink,CCity,CFounded,CNation,CLeague,CReputation,CStatus,CBalance,CTransfer_Budget,CTotal_Wages,CRemaining_Wages,CTraining_Facilities,CYouth_Facilities,CYouth_Recruitment,CJunior_Coaching,CBest_XI,CMost_Talented_XI
Cimarrones,https://fminside.net/clubs/1-fm-21/51039162-cimarrones,Hermosillo,2013,Mexico,Expansion League,43,,€ 790K,€ 212K,€ 8K pw,779 pw,50,30,35,45,49,57
Tlaxcala,https://fminside.net/clubs/1-fm-21/51047275-tlaxcala,-,2014,Mexico,Expansion League,43,,€ 33K,€ 4K,€ 16K pw,742 pw,25,30,25,40,51,60
Alteños Tepa,https://fminside.net/clubs/1-fm-21/51052402-altenos-tepa,Tepatitlán de Morelos,2015,Mexico,Expansion League,43,,€ 21K,€ 4K,€ 15K pw,717 pw,35,30,20,25,49,60
Cancún,https://fminside.net/clubs/1-fm-21/2000017421-cancun,Cancún,2020,Mexico,Expansion League,43,,€ 4K,0,€ 25K pw,€ 1K pw,40,35,30,30,53,56
Avangard Kursk,https://fminside.net/clubs/1-fm-21/477421-avangard-kursk,Kursk,1958,Russia,PFL G3,43,Professional,€ 62K,0,0 pw,0 pw,45,45,20,40,48,55
Västerås SK,https://fminside.net/clubs/1-fm-21/1839-vasters-sk,Västerås,1904,Sweden,Superettan,43,Professional,€ 1M,€ 143K,€ 17K pw,€ 2K pw,55,50,45,45,52,55
Raufoss Fotball,https://fminside.net/clubs/1-fm-21/1374-raufoss-fotball,Raufoss,1918,Norway,OBOS-ligaen,43,Semi-Professional,€ 2M,€ 354K,€ 13K pw,666 pw,45,35,35,40,53,57
Jerv,https://fminside.net/clubs/1-fm-21/1330-jerv,Grimstad,1921,Norway,OBOS-ligaen,43,Semi-Professional,€ 2M,€ 73K,€ 14K pw,€ 2K pw,35,45,45,45,55,55
Chiangrai Utd,https://fminside.net/clubs/1-fm-21/23077991-chiangrai-utd,Chiang Rai,2009,Thailand,Toyota Thai League,43,,€ 3M,0,0 pw,0 pw,60,55,75,65,56,61
River Plate Montevideo,https://fminside.net/clubs/1-fm-21/1925-river-plate-montevideo,Montevideo,1932,Uruguay,Torneo Uruguayo Copa,43,Professional,€ 608K,€ 3K,€ 11K pw,€ 1K pw,40,50,70,65,59,63
Strømmen,https://fminside.net/clubs/1-fm-21/1403-strmmen,Strømmen,1911,Norway,OBOS-ligaen,43,Semi-Professional,€ 644K,€ 64K,€ 15K pw,€ 4K pw,40,45,50,45,52,56
Accrington Stanley,https://fminside.net/clubs/1-fm-21/109210-accrington-stanley,Accrington,1968,England,EFL League One,42,Professional,€ 2M,0,€ 31K pw,€ 1K pw,35,35,45,40,53,62
Scunthorpe,https://fminside.net/clubs/1-fm-21/707-scunthorpe,Scunthorpe,1899,England,EFL League Two,42,Professional,€ 312K,0,€ 45K pw,€ 2K pw,60,30,50,40,51,59
Tranmere,https://fminside.net/clubs/1-fm-21/729-tranmere,Birkenhead,1884,England,EFL League Two,42,Professional,€ 479K,€ 55K,€ 48K pw,€ 4K pw,60,60,35,35,55,57
Pontevedra,https://fminside.net/clubs/1-fm-21/1723-pontevedra,Pontevedra,1941,Spain,Segunda División B Grupo I,42,Professional,€ 1M,0,€ 62K pw,€ 3K pw,50,30,45,45,55,53
CD Guijuelo,https://fminside.net/clubs/1-fm-21/7442930-cd-guijuelo,Guijuelo,1974,Spain,Segunda División B Grupo I,42,,€ -40.5K,0,€ 32K pw,€ 2K pw,45,45,35,35,52,52
Barakaldo CF,https://fminside.net/clubs/1-fm-21/1667-barakaldo-cf,Barakaldo,1917,Spain,Segunda División B Grupo II,42,Semi-Professional,€ 146K,0,€ 27K pw,€ 1K pw,45,40,50,35,53,57
AS Confiança-SE,https://fminside.net/clubs/1-fm-21/301323-as-confianca-se,Aracaju (SE),1936,Brazil,Brazil Série B,42,Professional,€ -5.3K,0,€ 20K pw,955 pw,45,30,40,35,59,61
Fénix (ARG),https://fminside.net/clubs/1-fm-21/952727-fenix-arg,Ciudad de Buenos Aires,1948,Argentina,Primera B Metropolitana,42,Professional,€ -7.1K,0,0 pw,0 pw,40,50,40,20,55,60
Estudiantes (San Luis),https://fminside.net/clubs/1-fm-21/14037206-estudiantes-san-luis,San Luis (SL),1920,Argentina,Torneo Argentino A,42,,€ -5.3K,0,0 pw,0 pw,55,40,40,30,52,53
Ventforet Kofu,https://fminside.net/clubs/1-fm-21/107314-ventforet-kofu,Kofu,1965,Japan,J2 League,42,Professional,€ 2M,0,0 pw,0 pw,55,55,65,45,,
Cork City,https://fminside.net/clubs/1-fm-21/590-cork-city,Cork,1984,Republic of Ireland,SSE Airtricity League,42,Professional,€ 256K,0,€ 9K pw,€ 2K pw,40,40,100,65,42,48
Neftekhimik,https://fminside.net/clubs/1-fm-21/130550-neftekhimik,Nizhnekamsk,1991,Russia,FNL,42,Professional,€ 722K,0,€ 25K pw,€ 1K pw,15,25,25,15,51,55
Wuhan Zall,https://fminside.net/clubs/1-fm-21/23165273-wuhan-zall,Wuhan,2012,China PR,Chinese Super League,42,,€ 54M,€ 23M,€ 630K pw,€ 276K pw,50,40,65,45,59,50
Beijing Renhe,https://fminside.net/clubs/1-fm-21/23172080-beijing-renhe,Beijing,2016,China PR,China League One,42,,€ 10M,0,€ 165K pw,€ 8K pw,35,20,40,25,43,46
FK Fotbal Třinec,https://fminside.net/clubs/1-fm-21/136157-fk-fotbal-tinec,Trinec,1921,Czech Republic,Fortuna národní liga,42,Professional,€ 368K,€ 277K,€ 9K pw,€ 4K pw,40,45,45,50,47,52
Javor Ivanjica,https://fminside.net/clubs/1-fm-21/5742987-javor-ivanjica,Ivanjica,1912,Serbia,SuperLiga,42,,€ 447K,€ 105K,€ 7K pw,339 pw,45,45,55,45,55,60
FC U Craiova,https://fminside.net/clubs/1-fm-21/57170797-fc-u-craiova,Craiova,2017,Romania,Liga II,42,,€ 10K,0,€ 15K pw,€ 1K pw,40,25,15,10,51,49
Othellos Athienou,https://fminside.net/clubs/1-fm-21/26001627-othellos-athienou,Athienou,1933,Cyprus,B' Katigoria,42,,€ 62K,0,0 pw,0 pw,30,30,60,30,,
Rimini,https://fminside.net/clubs/1-fm-21/2219-rimini,Rimini,1912,Italy,Serie D Girone D,42,Semi-Professional,€ 444K,0,0 pw,0 pw,15,20,20,20,44,47
Cobreloa,https://fminside.net/clubs/1-fm-21/104359-cobreloa,Calama,1977,Chile,Campeonato Primera B,42,Professional,€ -686.7K,€ 42K,€ 14K pw,665 pw,40,30,60,40,56,56
José Gálvez,https://fminside.net/clubs/1-fm-21/5290567-jose-galvez,Chimbote,1953,Peru,Copa Perú,42,,€ 2M,0,0 pw,0 pw,50,25,20,15,40,43
Rukh Lviv,https://fminside.net/clubs/1-fm-21/71045065-rukh-lviv,Lviv,2003,Ukraine,FavBet Liha,42,,€ 3K,€ 10K,€ 23K pw,€ 1K pw,50,50,30,45,55,59
Plaza Colonia,https://fminside.net/clubs/1-fm-21/5512779-plaza-colonia,Colonia del Sacramento,1917,Uruguay,Torneo Uruguayo Copa,42,,€ 324K,€ 2K,€ 10K pw,926 pw,25,30,45,50,58,59
Al-Ra'ed,https://fminside.net/clubs/1-fm-21/135424-al-raed,Buridah,1954,Saudi Arabia,Zain Professional League,42,Professional,€ 1M,0,0 pw,0 pw,50,40,20,40,60,63
KF Tirana,https://fminside.net/clubs/1-fm-21/61-kf-tirana,Tirana,1920,Albania,Kategoria I,42,Professional,€ 296K,0,0 pw,0 pw,45,45,65,45,58,0
Warri Wolves,https://fminside.net/clubs/1-fm-21/5340759-warri-wolves,Warri,2008,Nigeria,Nigeria Professional Football League,42,,2.00,0,0 pw,0 pw,20,20,35,25,,
Sunshine Stars,https://fminside.net/clubs/1-fm-21/5410016-sunshine-stars,Akure,1995,Nigeria,Nigeria Professional Football League,42,,2.00,0,0 pw,0 pw,15,25,35,25,NAN,0
O. Béja,https://fminside.net/clubs/1-fm-21/5390018-o-beja,Béja,1929,Tunisia,CLP-1,42,,€ 77K,0,0 pw,0 pw,45,45,50,45,52,0
Interclube,https://fminside.net/clubs/1-fm-21/5380038-interclube,Luanda,1976,Angola,Girabola,42,,€ 494K,0,0 pw,0 pw,40,20,35,40,57,0
Qadsia,https://fminside.net/clubs/1-fm-21/135247-qadsia,Kuwait City,1960,Kuwait,Kuwaiti Premier League,42,Professional,€ 12M,0,0 pw,0 pw,55,45,100,45,57,0
Monopoli,https://fminside.net/clubs/1-fm-21/7983734-monopoli,Monopoli,1966,Italy,Lega Pro Girone C,42,,€ 956K,€ 300K,€ 40K pw,€ 2K pw,50,25,40,40,54,57
Felgueiras 1932,https://fminside.net/clubs/1-fm-21/2384-felgueiras-1932,Felgueiras,2006,Portugal,Campeonato de Portugal Prio B,42,Professional,€ 54K,€ 5K,€ 7K pw,€ 1K pw,40,20,50,35,46,56
CD Trofense,https://fminside.net/clubs/1-fm-21/2456-cd-trofense,Trofa,1930,Portugal,Campeonato de Portugal Prio C,42,Professional,€ 159K,€ 10K,€ 9K pw,918 pw,65,65,45,50,54,56
SC Torreense,https://fminside.net/clubs/1-fm-21/2422-sc-torreense,Torres Vedras,1917,Portugal,Campeonato de Portugal Prio F,42,Professional,€ 210K,€ 30K,€ 10K pw,€ 2K pw,55,50,60,55,53,56
Louletano DC,https://fminside.net/clubs/1-fm-21/2446-louletano-dc,Loulé,1923,Portugal,Campeonato de Portugal Prio H,42,Semi-Professional,€ 57K,0,€ 7K pw,€ 1K pw,60,45,30,65,52,56
CD Pinhalnovense,https://fminside.net/clubs/1-fm-21/729749-cd-pinhalnovense,Pinhal Novo,1948,Portugal,Campeonato de Portugal Prio H,42,Semi-Professional,€ 17K,0,€ 3K pw,348 pw,40,30,45,35,46,51
Petrocub Hînceşti,https://fminside.net/clubs/1-fm-21/57117818-petrocub-hinceti,Hînceşti,1994,Moldova,Divizia Naţională,42,,€ 370K,0,0 pw,0 pw,15,20,25,20,,
FK Atyrau,https://fminside.net/clubs/1-fm-21/494161-fk-atyrau,Atyraý,1980,Kazakhstan,Byrynszy liga,42,Professional,0,0,0 pw,0 pw,25,40,60,40,52,0
Kuwait SC,https://fminside.net/clubs/1-fm-21/135246-kuwait-sc,Kuwait City,1960,Kuwait,Kuwaiti Premier League,42,Professional,€ 12M,0,0 pw,0 pw,55,45,90,45,58,55
Fremad Amager,https://fminside.net/clubs/1-fm-21/508-fremad-amager,Copenhagen,1910,Denmark,NordicBet Liga,42,Semi-Professional,€ 339K,€ 134K,€ 30K pw,€ 3K pw,40,30,50,20,50,54
Crewe,https://fminside.net/clubs/1-fm-21/641-crewe,Crewe,1877,England,EFL League One,42,Professional,€ 491K,€ 22K,€ 39K pw,€ 5K pw,80,50,40,60,57,64
Northampton,https://fminside.net/clubs/1-fm-21/689-northampton,Northampton,1897,England,EFL League One,42,Professional,€ 380K,€ 11K,€ 51K pw,€ 4K pw,40,40,45,30,53,52
Walsall,https://fminside.net/clubs/1-fm-21/731-walsall,Walsall,1888,England,EFL League Two,42,Professional,€ 590K,€ 164K,€ 37K pw,€ 6K pw,65,45,50,40,54,62
Forest Green,https://fminside.net/clubs/1-fm-21/109206-forest-green,Nailsworth,1889,England,EFL League Two,42,Professional,€ 963K,€ 109K,€ 35K pw,€ 3K pw,50,25,25,25,53,62
US Avranches,https://fminside.net/clubs/1-fm-21/2068-us-avranches,Avranches,1897,France,National,42,Semi-Professional,€ 508K,0,€ 19K pw,869 pw,30,25,20,25,51,58
Homburg,https://fminside.net/clubs/1-fm-21/3601820-homburg,Homburg,1908,Germany,Regionalliga Südwest,42,,2.00,0,0 pw,0 pw,30,30,25,30,52,57
Real Sociedad B,https://fminside.net/clubs/1-fm-21/1743-real-sociedad-b,San Sebastián,1951,Spain,Segunda División B Grupo II,42,Professional,€ -7.9K,0,€ 22K pw,173 pw,5,5,75,5,,
Colegiales,https://fminside.net/clubs/1-fm-21/951312-colegiales,Munro (BA),1908,Argentina,Primera B Metropolitana,42,Professional,0,0,0 pw,0 pw,35,35,50,20,57,59
Sol de Mayo,https://fminside.net/clubs/1-fm-21/14028729-sol-de-mayo,Viedma (RN),1920,Argentina,Torneo Argentino A,42,,€ -20.9K,0,0 pw,0 pw,15,20,15,15,55,54
Omiya Ardija,https://fminside.net/clubs/1-fm-21/107305-omiya-ardija,Saitama,1969,Japan,J2 League,42,Professional,€ 3M,0,0 pw,0 pw,65,55,60,45,,
Bruk-Bet Nieciecza,https://fminside.net/clubs/1-fm-21/96000060-bruk-bet-nieciecza,Nieciecza,1922,Poland,I liga,42,,€ 1M,€ 11K,€ 22K pw,€ 2K pw,55,45,30,30,55,54
Shenzhen,https://fminside.net/clubs/1-fm-21/115942-shenzhen,Shenzhen,1994,China PR,Chinese Super League,42,Professional,€ 55M,€ 21M,€ 839K pw,€ 39K pw,45,35,35,35,58,44
CS Mioveni,https://fminside.net/clubs/1-fm-21/57080206-cs-mioveni,Mioveni,2000,Romania,Liga II,42,,€ 4K,0,€ 8K pw,€ 1K pw,60,20,30,15,45,48
ASU Poli Timişoara,https://fminside.net/clubs/1-fm-21/57099588-asu-poli-timioara,Timişoara,1998,Romania,Liga II,42,,€ 93K,0,€ 7K pw,679 pw,60,70,85,65,47,49
CSM Reşiţa,https://fminside.net/clubs/1-fm-21/57131211-csm-reia,Reşiţa,2009,Romania,Liga II,42,,€ 10K,0,€ 6K pw,645 pw,50,30,35,40,42,48
Farul Constanţa,https://fminside.net/clubs/1-fm-21/57150853-farul-constana,Constanţa,2016,Romania,Liga II,42,,€ 22K,0,€ 5K pw,612 pw,50,45,65,50,44,52
Gloria Buzău,https://fminside.net/clubs/1-fm-21/57174340-gloria-buzu,Buzău,2016,Romania,Liga II,42,,€ 2K,0,€ 7K pw,323 pw,55,45,60,50,42,50
Agia Napa,https://fminside.net/clubs/1-fm-21/149278-agia-napa,Agia Napa,1990,Cyprus,B' Katigoria,42,Professional,€ 62K,0,0 pw,0 pw,35,35,60,35,49,62
Deportes Temuco,https://fminside.net/clubs/1-fm-21/104363-deportes-temuco,Temuco,1965,Chile,Campeonato Primera B,42,Professional,€ 248K,€ 85K,€ 17K pw,776 pw,40,40,25,30,55,54
Deportivo Maldonado,https://fminside.net/clubs/1-fm-21/116309-deportivo-maldonado,Maldonado,1928,Uruguay,Torneo Uruguayo Copa,42,Professional,€ 101K,€ 3K,€ 7K pw,€ 1K pw,25,25,35,50,58,59
Bangkok Utd,https://fminside.net/clubs/1-fm-21/23078011-bangkok-utd,Pathum Thani,1988,Thailand,Toyota Thai League,42,,€ 4M,0,0 pw,0 pw,60,55,75,65,56,60
Al-Wehda,https://fminside.net/clubs/1-fm-21/106781-al-wehda,Makkah,1942,Saudi Arabia,Zain Professional League,42,Professional,€ 2M,0,0 pw,0 pw,40,45,65,55,62,56
Hajer,https://fminside.net/clubs/1-fm-21/7920296-hajer,Hasa (Hofuf),1950,Saudi Arabia,First Division,42,,€ 2M,0,0 pw,0 pw,35,40,5,20,57,0
KF Kukësi,https://fminside.net/clubs/1-fm-21/11009767-kf-kukesi,Kukës,1930,Albania,Kategoria I,42,,€ 297K,0,0 pw,0 pw,45,40,65,40,46,53
Worms,https://fminside.net/clubs/1-fm-21/877219-worms,Worms,1908,Germany,RP/Saar,42,Semi-Professional,2.00,0,0 pw,0 pw,45,40,25,25,48,54
Lobi Stars,https://fminside.net/clubs/1-fm-21/5340758-lobi-stars,Makurdi,1981,Nigeria,Nigeria Professional Football League,42,,2.00,0,0 pw,0 pw,20,25,35,40,56,66
Katsina Utd,https://fminside.net/clubs/1-fm-21/13188906-katsina-utd,Katsina,1994,Nigeria,Nigeria Professional Football League,42,,0,0,0 pw,0 pw,10,25,35,25,41,0
Dep. Español,https://fminside.net/clubs/1-fm-21/83-dep-espanol,Ciudad de Buenos Aires,1956,Argentina,Primera C,42,Professional,-963.00,0,0 pw,0 pw,40,55,65,25,53,57
HFX Wanderers FC,https://fminside.net/clubs/1-fm-21/20502989-hfx-wanderers-fc,Halifax (NS),2018,Canada,Canadian Premier League,42,,€ 307K,€ 271K,€ 10K pw,694 pw,25,25,45,30,50,55
Al-Zawra'a,https://fminside.net/clubs/1-fm-21/135215-al-zawraa,Baghdad,1969,Iraq,Dawri Al-Nokhba,42,Professional,€ 884K,0,0 pw,0 pw,50,45,100,50,56,62
Bayern II,https://fminside.net/clubs/1-fm-21/103287-bayern-ii,München,1900,Germany,3. Liga,42,Professional,€ 25K,0,€ 40K pw,€ -31.2K pw,80,40,10,5,,
Verl,https://fminside.net/clubs/1-fm-21/121196-verl,Verl,1924,Germany,3. Liga,42,Professional,€ 82K,0,€ 32K pw,€ 3K pw,35,35,30,30,53,52
Zira,https://fminside.net/clubs/1-fm-21/59091534-zira,Zira,2014,Azerbaijan,Topaz Premyer Liqası,42,,0,0,0 pw,0 pw,10,20,30,20,57,62
Torpedo Kt.,https://fminside.net/clubs/1-fm-21/59025932-torpedo-kt,Kutaisi,1946,Georgia,Erovnuli Liga,42,,0,0,0 pw,0 pw,55,60,50,60,53,0
Bekobod,https://fminside.net/clubs/1-fm-21/485459-bekobod,Bekobod,1945,Uzbekistan,Superleague,42,Professional,0,0,0 pw,0 pw,25,25,25,20,51,57
Atlético CP,https://fminside.net/clubs/1-fm-21/2440-atletico-cp,Lisbon,1942,Portugal,Lisbon Pro-National,42,Amateur,0,0,0 pw,0 pw,25,25,25,25,43,50
Hødd,https://fminside.net/clubs/1-fm-21/1328-hdd,Ulstein,1919,Norway,PostNord-ligaen,42,Semi-Professional,€ 127K,€ 5K,€ 8K pw,800 pw,50,40,60,40,44,52
Notodden,https://fminside.net/clubs/1-fm-21/755792-notodden,Notodden,1999,Norway,2. divisjon 2,42,Semi-Professional,€ 52K,914.00,€ 5K pw,432 pw,35,25,35,25,48,52
Jeonnam Dragons,https://fminside.net/clubs/1-fm-21/106812-jeonnam-dragons,Gwangyang,1994,South Korea,K League Challenge,42,Professional,€ 4M,€ 2M,€ 30K pw,€ 4K pw,60,60,70,70,54,54
Mineros de Guayana,https://fminside.net/clubs/1-fm-21/109192-mineros-de-guayana,Puerto Ordaz,1981,Venezuela,Primera División,42,Professional,€ 875K,0,0 pw,0 pw,60,55,60,65,57,64
Åsane Fotball,https://fminside.net/clubs/1-fm-21/1430-sane-fotball,Bergen,1971,Norway,OBOS-ligaen,42,Semi-Professional,€ 578K,€ 9K,€ 10K pw,449 pw,35,30,45,35,52,58
CA Progreso,https://fminside.net/clubs/1-fm-21/1923-ca-progreso,Montevideo,1917,Uruguay,Torneo Uruguayo Copa,42,Professional,€ 730K,€ 1K,€ 8K pw,€ 1K pw,15,15,35,40,58,59
Kolding IF,https://fminside.net/clubs/1-fm-21/2121-kolding-if,Kolding,1895,Denmark,NordicBet Liga,41,Semi-Professional,€ 300K,€ 34K,€ 20K pw,€ 2K pw,45,45,40,25,47,56
Næstved BK,https://fminside.net/clubs/1-fm-21/542-nstved-bk,Næstved,1939,Denmark,2. division,41,Semi-Professional,€ 76K,€ 67K,€ 17K pw,€ 3K pw,30,15,30,15,47,53
Mansfield,https://fminside.net/clubs/1-fm-21/681-mansfield,Mansfield,1897,England,EFL League Two,41,Professional,€ 700K,€ 55K,€ 50K pw,€ 4K pw,50,50,15,20,54,50
Oldham,https://fminside.net/clubs/1-fm-21/694-oldham,Oldham,1895,England,EFL League Two,41,Professional,€ 371K,0,€ 36K pw,€ 4K pw,50,25,55,35,53,58
Port Vale,https://fminside.net/clubs/1-fm-21/698-port-vale,Stoke-on-Trent,1876,England,EFL League Two,41,Professional,€ 769K,€ 55K,€ 45K pw,€ 5K pw,40,35,50,40,52,55
Villefranche Beaujolais,https://fminside.net/clubs/1-fm-21/2085-villefranche-beaujolais,Villefranche-sur-Saône,1927,France,National,41,Semi-Professional,€ 543K,0,€ 15K pw,727 pw,25,15,25,25,52,53
Elversberg,https://fminside.net/clubs/1-fm-21/121200-elversberg,Elversberg,1907,Germany,Regionalliga Südwest,41,Professional,2.00,0,0 pw,0 pw,40,30,20,25,53,58
Vila Nova,https://fminside.net/clubs/1-fm-21/107236-vila-nova,Goiânia (GO),1943,Brazil,Série C,41,Professional,€ -4.1K,€ 8K,€ 27K pw,€ 1K pw,45,35,45,35,56,55
FF Jaro,https://fminside.net/clubs/1-fm-21/813-ff-jaro,Jakobstad,1965,Finland,Ykkönen,41,Semi-Professional,€ 35K,€ 5K,€ 2K pw,210 pw,50,20,55,65,47,48
Šibenik,https://fminside.net/clubs/1-fm-21/442-ibenik,Sibenik,1932,Croatia,HT Prva liga,41,Professional,€ -1M,0,€ 14K pw,€ 2K pw,35,40,55,55,57,62
Hrvatski Dragovoljac,https://fminside.net/clubs/1-fm-21/1300241-hrvatski-dragovoljac,Zagreb,1975,Croatia,Druga HNL,41,,€ -1M,0,€ 6K pw,605 pw,35,40,35,50,51,57
Linfield,https://fminside.net/clubs/1-fm-21/1284-linfield,Belfast,1886,Northern Ireland,Danske Bank Premiership,41,Professional,€ 637K,€ 55K,€ 17K pw,€ 2K pw,50,55,90,30,47,47
Henan Jianye,https://fminside.net/clubs/1-fm-21/131162-henan-jianye,Zhengzhou,1994,China PR,Chinese Super League,41,Professional,€ 10M,€ 625K,€ 539K pw,€ 25K pw,35,35,30,35,56,48
Shijiazhuang Ever Bright,https://fminside.net/clubs/1-fm-21/23194491-shijiazhuang-ever-bright,Shijiazhuang,2012,China PR,Chinese Super League,41,,€ 4M,€ 375K,€ 389K pw,€ 18K pw,35,25,50,20,51,49
FK Indjija,https://fminside.net/clubs/1-fm-21/5745180-fk-indjija,Indjija,1933,Serbia,SuperLiga,41,,€ 410K,€ 96K,€ 10K pw,464 pw,40,45,55,45,55,61
Dunărea Călărași,https://fminside.net/clubs/1-fm-21/57000258-dunrea-clrai,Călăraşi (CL),1920,Romania,Liga II,41,,€ 16K,0,€ 9K pw,774 pw,55,35,45,30,46,45
AEZ,https://fminside.net/clubs/1-fm-21/26001619-aez,Zakaki,1956,Cyprus,B' Katigoria,41,,€ 62K,0,0 pw,0 pw,25,25,55,25,47,57
Paykan,https://fminside.net/clubs/1-fm-21/5622727-paykan,Qods,1967,Iran,Iran Pro League,41,,€ 2M,0,0 pw,0 pw,35,20,35,20,53,58
Skeid Fotball,https://fminside.net/clubs/1-fm-21/1387-skeid-fotball,Oslo,1915,Norway,PostNord-ligaen,41,Semi-Professional,€ 55K,€ 23K,€ 8K pw,€ 1K pw,40,50,100,70,52,55
Tromsdalen Fotball,https://fminside.net/clubs/1-fm-21/1409-tromsdalen-fotball,Tromsø,1938,Norway,PostNord-ligaen,41,Semi-Professional,€ 53K,€ 7K,€ 5K pw,679 pw,60,60,45,40,46,49
Prato,https://fminside.net/clubs/1-fm-21/1161-prato,Prato,1908,Italy,Serie D Girone D,41,Semi-Professional,€ 323K,0,0 pw,0 pw,35,35,30,30,47,45
Deportes La Serena,https://fminside.net/clubs/1-fm-21/130796-deportes-la-serena,La Serena,1955,Chile,Campeonato AFP,41,Professional,€ -572.3K,€ 59K,€ 23K pw,€ 1K pw,45,45,35,45,58,63
Port,https://fminside.net/clubs/1-fm-21/23295496-port,Bangkok,1967,Thailand,Toyota Thai League,41,,€ 3M,0,0 pw,0 pw,55,60,80,60,57,63
Al-Taliyah,https://fminside.net/clubs/1-fm-21/1037835-al-taliyah,Hama,1941,Syria,Syrian Premier League,41,,€ 242K,0,0 pw,0 pw,25,30,60,50,53,61
KF Laçi,https://fminside.net/clubs/1-fm-21/68-kf-laci,Laç,1960,Albania,Kategoria I,41,Professional,€ 298K,0,0 pw,0 pw,40,40,70,40,51,57
Olimpic Sarajevo,https://fminside.net/clubs/1-fm-21/1300165-olimpic-sarajevo,Sarajevo,1993,Bosnia and Herzegovina,M:tel Premier League,41,,0,0,0 pw,0 pw,45,45,75,45,,
Heartland F.C.,https://fminside.net/clubs/1-fm-21/5340754-heartland-fc,Owerri,1976,Nigeria,Nigeria Professional Football League,41,,€ 248K,0,0 pw,0 pw,40,25,40,50,57,0
DH El Jadida,https://fminside.net/clubs/1-fm-21/106052-dh-el-jadida,El Jadida,1956,Morocco,Botola Pro 1,41,Professional,€ 745K,0,0 pw,0 pw,35,35,50,30,59,0
Recreativo do Libolo,https://fminside.net/clubs/1-fm-21/12009714-recreativo-do-libolo,Calulo,1942,Angola,Girabola,41,,€ 1M,0,0 pw,0 pw,50,25,55,40,56,0
Sp. Italiano,https://fminside.net/clubs/1-fm-21/102479-sp-italiano,Ciudad Evita (BA),1955,Argentina,Primera C,41,Professional,€ -8.3K,0,0 pw,0 pw,40,35,55,35,52,57
Dep. Merlo,https://fminside.net/clubs/1-fm-21/950231-dep-merlo,Merlo (BA),1954,Argentina,Primera C,41,Professional,0,0,0 pw,0 pw,45,40,55,20,55,58
Gimnasia y Tiro,https://fminside.net/clubs/1-fm-21/102464-gimnasia-y-tiro,Salta (SA),1902,Argentina,Torneo Argentino B,41,Semi-Professional,0,0,0 pw,0 pw,30,20,30,20,53,57
Juv. Antoniana,https://fminside.net/clubs/1-fm-21/108538-juv-antoniana,Salta (SA),1916,Argentina,Torneo Argentino B,41,Semi-Professional,0,0,0 pw,0 pw,25,30,55,50,51,55
York9 FC,https://fminside.net/clubs/1-fm-21/20502987-york9-fc,Toronto (ON),2018,Canada,Canadian Premier League,41,,€ 247K,€ 196K,€ 11K pw,719 pw,45,45,60,40,51,56
Al-Shorta (IRQ),https://fminside.net/clubs/1-fm-21/102849-al-shorta-irq,Baghdad,1938,Iraq,Dawri Al-Nokhba,41,Professional,€ 4M,0,0 pw,0 pw,55,45,90,50,57,61
Naft Al-Wasat,https://fminside.net/clubs/1-fm-21/23291618-naft-al-wasat,Najaf,2008,Iraq,Dawri Al-Nokhba,41,,€ 551K,0,0 pw,0 pw,40,25,60,35,55,0
Borussia Dortmund II,https://fminside.net/clubs/1-fm-21/121201-borussia-dortmund-ii,Dortmund,0,Germany,Regionalliga West,41,Semi-Professional,3.00,0,0 pw,0 pw,75,40,5,5,,
Borussia M'gladbach II,https://fminside.net/clubs/1-fm-21/876858-borussia-mgladbach-ii,Mönchengladbach,0,Germany,Regionalliga West,41,Semi-Professional,2.00,0,0 pw,0 pw,75,40,5,5,,
Fermana F.C.,https://fminside.net/clubs/1-fm-21/43152205-fermana-fc,Fermo,2013,Italy,Lega Pro Girone B,41,,€ 745K,€ 200K,€ 36K pw,€ 2K pw,40,35,35,30,52,58
Oriental Lisboa,https://fminside.net/clubs/1-fm-21/2444-oriental-lisboa,Lisbon,1946,Portugal,Campeonato de Portugal Prio G,41,Semi-Professional,€ 53K,0,€ 3K pw,380 pw,45,40,40,55,47,51
FK Taraz,https://fminside.net/clubs/1-fm-21/484619-fk-taraz,Taraz,1960,Kazakhstan,Priemjer Ligasy,41,Professional,0,0,0 pw,0 pw,40,45,50,45,54,58
Zimbru Chișinău,https://fminside.net/clubs/1-fm-21/1268-zimbru-chiinu,Chişinău,1947,Moldova,Divizia Naţională,41,Professional,€ 248K,0,0 pw,0 pw,60,40,40,50,47,54
